,index,count
0,0.0,805.0
1,1.0,762.0
2,2.0,831.0
3,3.0,795.0
4,4.0,775.0
5,5.0,806.0
6,6.0,839.0
7,7.0,818.0
8,8.0,869.0
9,9.0,806.0
10,10.0,806.0
11,11.0,773.0
12,12.0,792.0
13,13.0,820.0
14,14.0,802.0
15,15.0,803.0
16,16.0,804.0
17,17.0,773.0
18,18.0,838.0
19,19.0,807.0
20,20.0,792.0
21,21.0,775.0
22,22.0,809.0
23,23.0,801.0
24,24.0,814.0
25,25.0,775.0
26,26.0,856.0
27,27.0,772.0
28,28.0,815.0
29,29.0,787.0
30,30.0,806.0
31,31.0,776.0
32,32.0,798.0
33,33.0,752.0
34,34.0,783.0
35,35.0,714.0
36,36.0,633.0
37,37.0,633.0
38,38.0,695.0
39,39.0,709.0
40,40.0,794.0
41,41.0,780.0
42,42.0,784.0
43,43.0,763.0
44,44.0,865.0
45,45.0,815.0
46,46.0,846.0
47,47.0,801.0
48,48.0,831.0
49,49.0,798.0
50,50.0,750.0
51,51.0,752.0
52,52.0,829.0
53,53.0,779.0
54,54.0,779.0
55,55.0,819.0
56,56.0,776.0
57,57.0,821.0
58,58.0,791.0
59,59.0,786.0
60,60.0,759.0
61,61.0,779.0
62,62.0,804.0
63,63.0,836.0
64,64.0,760.0
65,65.0,789.0
66,66.0,770.0
67,67.0,803.0
68,68.0,762.0
69,69.0,775.0
70,70.0,785.0
71,71.0,750.0
72,72.0,788.0
73,73.0,716.0
74,74.0,745.0
75,75.0,735.0
76,76.0,688.0
77,77.0,658.0
78,78.0,713.0
79,79.0,768.0
80,80.0,765.0
81,81.0,839.0
82,82.0,762.0
83,83.0,725.0
84,84.0,786.0
85,85.0,821.0
86,86.0,788.0
87,87.0,809.0
88,88.0,801.0
89,89.0,852.0
90,90.0,775.0
91,91.0,786.0
92,92.0,827.0
93,93.0,780.0
94,94.0,820.0
95,95.0,792.0
96,96.0,799.0
97,97.0,826.0
98,98.0,851.0
99,99.0,837.0
100,100.0,799.0
101,101.0,824.0
102,102.0,752.0
103,103.0,763.0
104,104.0,836.0
105,105.0,760.0
106,106.0,766.0
107,107.0,768.0
108,108.0,778.0
109,109.0,799.0
110,110.0,748.0
111,111.0,766.0
112,112.0,847.0
113,113.0,701.0
114,114.0,755.0
115,115.0,739.0
116,116.0,728.0
117,117.0,752.0
118,118.0,751.0
119,119.0,792.0
120,120.0,811.0
121,121.0,784.0
122,122.0,843.0
123,123.0,825.0
124,124.0,801.0
125,125.0,806.0
126,126.0,819.0
127,127.0,864.0
128,128.0,732.0
129,129.0,785.0
130,130.0,779.0
131,131.0,836.0
132,132.0,771.0
133,133.0,789.0
134,134.0,802.0
135,135.0,759.0
136,136.0,817.0
137,137.0,748.0
138,138.0,794.0
139,139.0,822.0
140,140.0,757.0
141,141.0,766.0
142,142.0,797.0
143,143.0,749.0
144,144.0,747.0
145,145.0,720.0
146,146.0,746.0
147,147.0,755.0
148,148.0,797.0
149,149.0,799.0
150,150.0,742.0
151,151.0,777.0
152,152.0,827.0
153,153.0,788.0
154,154.0,805.0
155,155.0,855.0
156,156.0,801.0
157,157.0,823.0
158,158.0,843.0
159,159.0,763.0
160,160.0,787.0
161,161.0,795.0
162,162.0,847.0
163,163.0,834.0
164,164.0,819.0
165,165.0,883.0
166,166.0,775.0
167,167.0,880.0
168,168.0,818.0
169,169.0,747.0
170,170.0,748.0
171,171.0,807.0
172,172.0,760.0
173,173.0,788.0
174,174.0,828.0
175,175.0,838.0
176,176.0,743.0
177,177.0,846.0
178,178.0,801.0
179,179.0,745.0
180,180.0,763.0
181,181.0,769.0
182,182.0,747.0
183,183.0,689.0
184,184.0,685.0
185,185.0,640.0
186,186.0,681.0
187,187.0,706.0
188,188.0,788.0
189,189.0,756.0
190,190.0,767.0
191,191.0,788.0
192,192.0,810.0
193,193.0,790.0
194,194.0,829.0
195,195.0,831.0
196,196.0,790.0
197,197.0,849.0
198,198.0,746.0
199,199.0,777.0
200,200.0,824.0
201,201.0,837.0
202,202.0,764.0
203,203.0,810.0
204,204.0,756.0
205,205.0,782.0
206,206.0,806.0
207,207.0,799.0
208,208.0,830.0
209,209.0,822.0
210,210.0,802.0
211,211.0,816.0
212,212.0,778.0
213,213.0,831.0
214,214.0,737.0
215,215.0,790.0
216,216.0,780.0
217,217.0,810.0
218,218.0,776.0
219,219.0,788.0
220,220.0,811.0
221,221.0,752.0
222,222.0,690.0
223,223.0,727.0
224,224.0,664.0
225,225.0,647.0
226,226.0,649.0
227,227.0,726.0
228,228.0,751.0
229,229.0,788.0
230,230.0,801.0
231,231.0,732.0
232,232.0,791.0
233,233.0,852.0
234,234.0,765.0
235,235.0,784.0
236,236.0,808.0
237,237.0,776.0
238,238.0,779.0
239,239.0,779.0
240,240.0,785.0
241,241.0,750.0
242,242.0,795.0
243,243.0,813.0
244,244.0,807.0
245,245.0,788.0
246,246.0,810.0
247,247.0,819.0
248,248.0,766.0
249,249.0,799.0
250,250.0,809.0
251,251.0,852.0
252,252.0,783.0
