,index,counts
0,0.0,911.0
1,1.0,951.0
2,2.0,923.0
3,3.0,968.0
4,4.0,963.0
5,5.0,933.0
6,6.0,931.0
7,7.0,854.0
8,8.0,942.0
9,9.0,954.0
10,10.0,921.0
11,11.0,943.0
12,12.0,939.0
13,13.0,937.0
14,14.0,937.0
15,15.0,950.0
16,16.0,974.0
17,17.0,973.0
18,18.0,953.0
19,19.0,933.0
20,20.0,948.0
21,21.0,965.0
22,22.0,951.0
23,23.0,888.0
24,24.0,899.0
25,25.0,899.0
26,26.0,917.0
27,27.0,931.0
28,28.0,925.0
29,29.0,911.0
30,30.0,913.0
31,31.0,953.0
32,32.0,927.0
33,33.0,943.0
34,34.0,932.0
35,35.0,857.0
36,36.0,913.0
37,37.0,949.0
38,38.0,943.0
39,39.0,906.0
40,40.0,916.0
41,41.0,919.0
42,42.0,951.0
43,43.0,989.0
44,44.0,947.0
45,45.0,893.0
46,46.0,912.0
47,47.0,907.0
48,48.0,961.0
49,49.0,953.0
50,50.0,961.0
51,51.0,947.0
52,52.0,918.0
53,53.0,893.0
54,54.0,948.0
55,55.0,906.0
56,56.0,951.0
57,57.0,945.0
58,58.0,945.0
59,59.0,985.0
60,60.0,900.0
61,61.0,890.0
62,62.0,960.0
63,63.0,963.0
64,64.0,932.0
65,65.0,949.0
66,66.0,945.0
67,67.0,909.0
68,68.0,931.0
69,69.0,939.0
70,70.0,955.0
71,71.0,914.0
72,72.0,941.0
73,73.0,937.0
74,74.0,937.0
75,75.0,934.0
76,76.0,931.0
77,77.0,914.0
78,78.0,981.0
79,79.0,895.0
80,80.0,927.0
81,81.0,953.0
82,82.0,907.0
83,83.0,954.0
84,84.0,968.0
85,85.0,963.0
86,86.0,924.0
87,87.0,897.0
88,88.0,888.0
89,89.0,892.0
90,90.0,912.0
91,91.0,937.0
92,92.0,943.0
93,93.0,935.0
94,94.0,893.0
95,95.0,903.0
96,96.0,930.0
97,97.0,969.0
98,98.0,937.0
99,99.0,961.0
100,100.0,901.0
101,101.0,944.0
102,102.0,932.0
103,103.0,895.0
104,104.0,971.0
105,105.0,891.0
106,106.0,924.0
107,107.0,900.0
108,108.0,864.0
109,109.0,930.0
110,110.0,999.0
111,111.0,884.0
112,112.0,907.0
113,113.0,930.0
114,114.0,895.0
115,115.0,905.0
116,116.0,931.0
117,117.0,917.0
118,118.0,867.0
119,119.0,789.0
120,120.0,719.0
121,121.0,803.0
122,122.0,848.0
123,123.0,929.0
124,124.0,846.0
125,125.0,891.0
126,126.0,904.0
127,127.0,864.0
128,128.0,963.0
129,129.0,905.0
130,130.0,967.0
131,131.0,847.0
132,132.0,957.0
133,133.0,926.0
134,134.0,901.0
135,135.0,970.0
136,136.0,937.0
137,137.0,942.0
138,138.0,982.0
139,139.0,930.0
140,140.0,897.0
141,141.0,962.0
142,142.0,921.0
143,143.0,919.0
144,144.0,895.0
145,145.0,922.0
146,146.0,889.0
147,147.0,878.0
148,148.0,877.0
149,149.0,787.0
150,150.0,767.0
151,151.0,796.0
152,152.0,830.0
153,153.0,879.0
154,154.0,862.0
155,155.0,931.0
156,156.0,924.0
157,157.0,970.0
158,158.0,932.0
159,159.0,957.0
160,160.0,871.0
161,161.0,880.0
162,162.0,878.0
163,163.0,894.0
164,164.0,887.0
165,165.0,931.0
166,166.0,933.0
167,167.0,911.0
168,168.0,929.0
169,169.0,994.0
170,170.0,967.0
171,171.0,942.0
172,172.0,935.0
173,173.0,910.0
174,174.0,940.0
175,175.0,905.0
176,176.0,934.0
177,177.0,914.0
178,178.0,966.0
179,179.0,957.0
180,180.0,915.0
181,181.0,914.0
182,182.0,904.0
183,183.0,945.0
184,184.0,898.0
185,185.0,953.0
186,186.0,930.0
187,187.0,929.0
188,188.0,935.0
189,189.0,882.0
190,190.0,992.0
191,191.0,942.0
192,192.0,930.0
193,193.0,880.0
194,194.0,922.0
195,195.0,1043.0
196,196.0,940.0
197,197.0,896.0
198,198.0,945.0
199,199.0,887.0
200,200.0,968.0
201,201.0,890.0
202,202.0,933.0
203,203.0,904.0
204,204.0,910.0
205,205.0,1007.0
206,206.0,936.0
207,207.0,915.0
208,208.0,949.0
209,209.0,920.0
210,210.0,879.0
211,211.0,866.0
212,212.0,907.0
213,213.0,942.0
214,214.0,895.0
215,215.0,927.0
216,216.0,947.0
217,217.0,917.0
218,218.0,980.0
219,219.0,924.0
220,220.0,874.0
221,221.0,937.0
222,222.0,909.0
223,223.0,1008.0
224,224.0,964.0
225,225.0,914.0
226,226.0,927.0
227,227.0,933.0
228,228.0,949.0
229,229.0,876.0
230,230.0,947.0
231,231.0,916.0
232,232.0,907.0
233,233.0,911.0
234,234.0,873.0
235,235.0,882.0
236,236.0,950.0
237,237.0,947.0
238,238.0,968.0
239,239.0,903.0
240,240.0,913.0
241,241.0,951.0
242,242.0,934.0
243,243.0,968.0
244,244.0,910.0
245,245.0,930.0
246,246.0,916.0
247,247.0,895.0
248,248.0,901.0
249,249.0,956.0
250,250.0,889.0
251,251.0,872.0
252,252.0,1001.0
253,253.0,931.0
254,254.0,944.0
255,255.0,912.0
256,256.0,926.0
257,257.0,914.0
258,258.0,939.0
259,259.0,924.0
260,260.0,933.0
261,261.0,944.0
262,262.0,970.0
263,263.0,922.0
264,264.0,926.0
265,265.0,922.0
266,266.0,925.0
267,267.0,913.0
268,268.0,956.0
269,269.0,965.0
270,270.0,963.0
271,271.0,869.0
272,272.0,927.0
273,273.0,934.0
274,274.0,903.0
275,275.0,897.0
276,276.0,945.0
277,277.0,965.0
278,278.0,896.0
279,279.0,972.0
280,280.0,950.0
281,281.0,931.0
282,282.0,916.0
283,283.0,942.0
284,284.0,972.0
285,285.0,908.0
286,286.0,995.0
287,287.0,940.0
288,288.0,927.0
289,289.0,958.0
290,290.0,967.0
291,291.0,879.0
292,292.0,942.0
293,293.0,954.0
294,294.0,882.0
295,295.0,956.0
296,296.0,948.0
297,297.0,922.0
298,298.0,947.0
299,299.0,868.0
300,300.0,968.0
301,301.0,942.0
302,302.0,919.0
303,303.0,912.0
304,304.0,910.0
305,305.0,927.0
306,306.0,931.0
307,307.0,906.0
308,308.0,950.0
309,309.0,898.0
310,310.0,945.0
311,311.0,966.0
312,312.0,884.0
313,313.0,962.0
314,314.0,905.0
315,315.0,907.0
316,316.0,887.0
317,317.0,953.0
318,318.0,934.0
319,319.0,966.0
320,320.0,899.0
321,321.0,883.0
322,322.0,935.0
323,323.0,901.0
324,324.0,898.0
325,325.0,930.0
326,326.0,963.0
327,327.0,937.0
328,328.0,917.0
329,329.0,919.0
330,330.0,967.0
331,331.0,905.0
332,332.0,893.0
333,333.0,916.0
334,334.0,950.0
335,335.0,872.0
336,336.0,939.0
337,337.0,941.0
338,338.0,880.0
339,339.0,944.0
340,340.0,920.0
341,341.0,908.0
342,342.0,935.0
343,343.0,959.0
344,344.0,944.0
345,345.0,880.0
346,346.0,942.0
347,347.0,878.0
348,348.0,979.0
349,349.0,897.0
350,350.0,899.0
351,351.0,942.0
352,352.0,852.0
353,353.0,952.0
354,354.0,886.0
355,355.0,945.0
356,356.0,912.0
357,357.0,893.0
358,358.0,898.0
359,359.0,828.0
360,360.0,768.0
361,361.0,778.0
362,362.0,811.0
363,363.0,834.0
364,364.0,894.0
365,365.0,865.0
366,366.0,895.0
367,367.0,903.0
368,368.0,877.0
369,369.0,918.0
370,370.0,908.0
371,371.0,948.0
372,372.0,905.0
373,373.0,921.0
374,374.0,927.0
375,375.0,957.0
376,376.0,906.0
377,377.0,895.0
378,378.0,923.0
379,379.0,928.0
380,380.0,947.0
381,381.0,892.0
382,382.0,882.0
383,383.0,991.0
384,384.0,927.0
385,385.0,940.0
386,386.0,921.0
387,387.0,859.0
388,388.0,863.0
389,389.0,873.0
390,390.0,787.0
391,391.0,789.0
392,392.0,864.0
393,393.0,853.0
394,394.0,885.0
395,395.0,898.0
396,396.0,928.0
397,397.0,944.0
398,398.0,927.0
399,399.0,930.0
400,400.0,847.0
401,401.0,943.0
402,402.0,927.0
